m1 m2 m3 m4 m5 m6 m7 t1_timing_profile t2_timing_profile t3_timing_profile t4_timing_profile t5_timing_profile t6_timing_profile t7_timing_profile t8_timing_profile
7 6 -712.028 -734.431 -722.926 -719.464 -712.727 370.443 371.332 372.82 379.361 384.622 388.011 390.922 393.882
15 1 -719.916 -757.487 -699.86 -716.235 -744.12 501.685 502.76 503.62 509.493 514.581 519.422 522.722 526.332
13 11 -754.332 -763.281 -647.002 -651.324 -647.795 666.383 667.522 669.029 679.026 686.976 691.3 694.463 697.614
5 20 -851.013 -853.642 -694.067 -703.195 -696.717 1756.54 1759.19 1761.62 1781.09 1797.2 1804.01 1808.13 1812.12
17 9 -735.849 -736.509 -696.92 -808.132 -894.121 2529.74 2532.14 2534.38 2543.1 2550.94 2566.13 2574.77 2584.1
6 8 -754.409 -801.289 -598.749 -657.704 -657.558 2738.07 2741.3 2744.47 2754.41 2764.78 2776.57 2781.86 2787.31
11 13 -690.267 -727.444 -712.283 -709.611 -697.118 4635.37 4638.76 4642.4 4655.7 4668.87 4677.79 4682.06 4686.19
9 13 -812.613 -838.481 -433.854 -626.958 -691.167 4867.55 4871.29 4875.38 4889.28 4900.76 4915.33 4921.29 4929.33
10 11 -862.135 -901.15 -573.284 -592.465 -685.066 6174.91 6178.33 6181.28 6195.57 6208.63 6219.26 6224.41 6229.46
11 5 -764.601 -784.269 -949.445 -1158.72 -1266.46 148.532 149.204 149.966 159.745 167.36 218.061 243.027 266.25
4 13 -769.984 -898.185 -625.171 -758.306 -767.719 596.077 597.25 598.199 610.061 622.255 637.621 643.468 649.264
9 21 -869.013 -837.027 436.233 -487.266 -531.761 4330.47 4333.73 4337.26 4358.98 4379.02 4398.75 4401.77 4405.8
10 12 -811.998 -833.076 508602 -491.04 -609.411 5238.01 5242.05 5246.56 5258.7 5267.73 5303.28 5320.41 5324.92
16 11 -799.481 -796.907 -732.026 -735.417 -734.933 5649.08 5653.59 5658.78 5671.34 5683.22 5691.15 5694.52 5697.96
10 6 -705.45 -726.713 -294.374 -409.001 -508.207 8864.5 8868.73 8873.91 8882.14 8889.76 8927.21 8929.8 8932.79
8 2 -614.109 -642.292 -772.748 -840.355 -844.249 25.8757 26.1481 26.4211 32.1014 37.509 46.3412 54.9349 62.9876
11 1 -796.188 -864.892 -710.644 -758.387 -758.628 75.0045 75.3559 75.6687 82.568 91.364 97.5554 105.712 112.759
8 15 -699.864 -717.723 40907.9 -656.819 -709.023 130.613 131.046 131.524 144.099 155.084 188.504 202.655 215.116
5 23 -934.262 -981.837 -601.01 -650.965 -661.398 376.309 377.034 377.612 399.813 421.513 427.759 433.017 437.497
14 16 -750.56 -801.089 -651.685 -620.727 -648.537 548.883 549.944 550.953 564.208 577.168 581.158 583.934 587.081
9 21 -797.995 -818.03 -763.671 -865.081 -856.759 695.028 696.199 697.644 713.035 726.777 742.848 753.712 764.403
14 12 -740.864 -787.977 -596.548 -684.319 -675.831 987.094 988.688 990.011 1002.94 1013.99 1021.13 1024.65 1028.56
13 4 -671.983 -771.919 -699.29 -796.51 -833.434 1650.9 1652.59 1654.16 1658.98 1662.72 1682.18 1697.23 1712.82
11 13 -899.007 -959.093 -643.059 -706.758 -699.458 2013.41 2015.68 2017.65 2031.94 2043.17 2059.01 2065 2069.37
10 4 -581.261 -688.417 -765.73 -761.676 -762.139 2118.79 2120.79 2122.71 2130.45 2136.49 2141.65 2144.91 2148.16
6 10 -718.558 -770.558 -622.43 -665.104 -773.285 9626.68 9631.28 9636.5 9648.04 9657.53 9671.33 9676 9680.07
8 15 -772.991 -896.529 -566.504 -574.903 -608.447 2.80656 2.96051 3.1141 21.8795 40.903 66.6142 71.8519 77.0877
13 24 -915.762 -910.047 -707.624 -782.133 -784.638 77.8718 78.0412 78.2092 94.9139 110.302 117.61 125.144 132.453
13 11 -817.352 -899.302 92956.8 -583.194 -638.292 165.643 166 166.329 179.567 191.852 215.008 223.656 230.863
15 21 -898.835 -880.281 -352.853 -609.442 -646.909 279.324 279.846 280.227 304.473 327.019 344.176 348.089 352.924
11 4 -712.807 -746.403 -606.662 -606.346 -707.186 482.615 483.355 484.289 492.35 497.755 501.637 505.099 508.432
1 9 -799.787 -789.058 -562.958 -612.264 -643.767 531.186 531.979 532.573 542.679 551.824 567.38 571.778 576.169
6 5 -647.361 -691.417 -546.062 -554.843 -556.422 915.373 916.894 918.513 926.671 933.436 936.956 939.584 942.391
10 7 -780.402 -803.303 -591.872 -620.191 -591.602 1557.31 1558.94 1560.83 1568.57 1574.88 1581.03 1585.23 1588.85
18 9 -722.591 -715.918 -553.595 -596.891 -614.911 2411.95 2414.21 2416.55 2424.59 2432.56 2446.64 2451 2455.65
5 2 -704.331 -716.953 -667.993 -745.157 -744.284 2760.25 2762.9 2765.68 2771.62 2774.94 2781.69 2785.11 2788.72
9 2 -631.642 -697.649 -604.649 -665.775 -693.788 3123.42 3126.28 3129.61 3133.5 3138.61 3149.83 3153.52 3157.68
16 11 -693.991 -736.06 -871.913 -952.482 -970.494 4234.87 4238.19 4241.78 4255.64 4266.96 4292.56 4301.37 4310.07
6 4 -735.532 -762.314 -711.369 -719.996 -724.603 4366.29 4370.09 4373.97 4380.87 4386.48 4395.66 4399.47 4402.56
11 5 -768.436 -836.562 -642.945 -739.723 -773.238 4872.22 4875.53 4879.02 4887.94 4895.76 4928.81 4942.79 4956.26
8 12 -681.299 -775.724 -765.204 -730.184 -772.873 7134.88 7138.52 7142.5 7153.41 7162.61 7169.9 7172.77 7176.21
8 4 -733.711 -748.436 -683.214 -673.677 -711.56 8897.88 8902.24 8906.79 8912.29 8917.46 8926.38 8929.05 8932.1
8 22 -788.417 -850.477 -618.82 -709.179 -713.943 78.2354 78.6548 79.0085 98.7596 116.259 121.178 126.493 131.968
14 7 -770.355 -807.601 -367.554 -430.731 -437.793 301.29 302.177 302.939 311.994 319.79 345.436 348.471 350.988
5 8 -821.333 -816.224 866699 -366.166 -465.439 459.532 460.488 461.392 472.602 482.069 517.272 539.159 541.471
9 11 -723.396 -704.686 147384 -609.493 -697.064 832.193 833.524 834.888 842.197 848.788 877.028 883.023 888.129
14 1 -646.541 -706.811 -632.337 -680.535 -685.571 1084.79 1086.42 1088.15 1095.3 1100.23 1106.35 1110.27 1114.3
8 6 -763.844 -806.289 -526.689 -615.391 -640.193 1386.74 1388.48 1390.45 1397.73 1404.57 1416.54 1421.83 1427.02
8 21 -783.342 -805.677 -529.698 -534.478 -530.736 1743.4 1745.57 1747.47 1766.19 1783.96 1788.99 1791.83 1794.47
7 19 -790.365 -835.839 -618.577 -753.805 -759.147 1894.87 1897.02 1899.33 1919.9 1937.65 1944.04 1947.43 1951.26
10 13 -756.292 -781.929 -590.971 -710.044 -697.303 2068.25 2070.38 2072.7 2085.46 2097.28 2102.74 2106.05 2108.91
10 16 -878.396 -904.744 -584.511 -686.86 -711.258 4034.85 4038.5 4041.99 4057.44 4072.56 4083.89 4088.91 4093.95
13 5 -756.918 -813.979 340927 -655.57 -682.933 7136.75 7140.71 7145.27 7151.49 7155.72 7174.29 7181.71 7185.59
12 6 -767.225 -800.94 -706.853 -789.951 -791.755 8472.39 8477.2 8483.11 8492.15 8499.64 8512.21 8515.71 8519.23
12 4 -616.038 -652.968 -612.705 -737.892 -740.901 8925.18 8929.84 8934.67 8946.7 8957.13 8967.19 8970.23 8973.28
6 6 -746.206 -750.343 -653.562 -663.77 -653.308 9004.63 9009.99 9014.88 9022.75 9029.22 9036.97 9040.84 9043.78
14 19 -731.833 -747.306 -621.375 -627.666 -626.124 9389.45 9394.49 9400.48 9414.88 9426.11 9435.22 9438.89 9442.12
11 9 -762.761 -794.112 -669.182 -676.767 -678.742 237.344 238.175 238.983 251.917 262.985 269.957 275.437 281.033
6 4 -757.115 -775.084 -708.438 -749.531 -749.752 329.646 330.458 331.337 338.303 344.057 348.565 352.15 355.754
7 18 -751.52 -871.253 -718.05 -755.324 -784.786 1278.85 1281.11 1283.42 1297.84 1310.75 1330.73 1336.38 1341.9
11 1 -597.438 -646.412 -631.638 -771.614 -792.629 1341.98 1344.17 1345.86 1352.2 1357.08 1364.15 1376.74 1392.24
12 1 -702.936 -722.601 -676.233 -683.731 -759.187 2836.7 2839.3 2842.54 2849.24 2855.21 2861.78 2865.26 2868.89
7 3 -691.89 -695.007 -600.991 -615.735 -613.904 6962.01 6966.26 6970.32 6976.82 6981.33 6992.81 6997.37 7001.79
12 11 -790.995 -847.008 -621.064 -624.954 -624.164 7627.4 7632.26 7636.55 7645.81 7652.91 7661.45 7664.42 7667.63
13 10 -817.004 -791.459 -653.741 -657.843 -702.717 8863.18 8869.1 8875.66 8887.32 8897.69 8907.1 8910.38 8913.83
11 17 -844.532 -857.668 -605.612 -639.817 -696.031 0.50531 0.649409 0.803011 15.6646 28.5288 31.2185 35.2366 40.0118
13 1 -679.742 -687.641 -608.288 -630.839 -632.454 1630.41 1632.6 1634.68 1639.25 1643.34 1650.27 1654.93 1659.44
10 5 -663.733 -680.841 -707.794 -764.204 -801.69 3715.41 3718.26 3720.82 3729.04 3736.71 3746.61 3756.32 3766.65
3 1 -689.463 -691.145 1.50235e+06 135721 -504.171 4213.61 4217.17 4220.48 4228.17 4234.02 4272.9 4296.47 4304.72
7 8 -591.865 -610.673 -726.238 -885.954 -928.703 8669.64 8674.47 8679.4 8688.49 8695.17 8718.31 8731.07 8744.64
7 6 -671.038 -674.777 -608.41 -667.894 -676.804 55.2453 55.6877 56.0243 64.4883 71.7261 76.9832 81.6259 86.5175
12 7 -766.877 -797.673 293768 -512.342 -558.209 90.3298 90.7954 91.4258 105.088 116.74 136.654 142.897 145.404
10 3 -644.053 -683.515 16758.7 -513.484 -523.198 373.101 374.065 375.499 382.686 388.743 407.991 411.152 413.912
18 9 -779.839 -822.597 629354 -444.882 -585.768 1343.73 1345.59 1348.47 1359.81 1368.21 1406.09 1417.88 1423.44
9 15 -777.082 -853.881 -811.423 -817.13 -821.342 4943.67 4947.79 4952.19 4966.75 4979.49 4989.53 4995.85 5002.25
10 7 -779.12 -794.171 96700 -511.901 -555.678 8799.14 8803.91 8809.94 8818.82 8826.09 8856.88 8860.86 8863.91
5 11 -768.719 -837.27 -707.578 -709.409 -724.766 0.526278 0.659684 0.798965 12.1263 23.1747 26.6374 29.7409 32.8077
5 6 -637.049 -692.787 -738.517 -803.123 -826.12 38.099 38.311 38.5106 47.3676 55.4173 63.5925 71.6607 80.4457
7 19 -818.332 -848.984 -668.322 -688.556 -733.862 261.597 262.417 263.121 281.106 297.271 302.585 308.69 314.212
11 8 -683.806 -710.127 -644.715 -707.044 -711.129 627.833 629.062 630.37 642.825 653.626 662.541 668.716 675.41
9 7 -758.954 -804.65 -645.072 -655.137 -666.695 1494.79 1496.63 1498.34 1509.4 1519.45 1528.02 1534.58 1541.54
5 14 -867.284 -919.56 -724.655 -752.304 -755.747 1619.94 1621.97 1624.03 1638.25 1651.83 1656.51 1659.49 1662.68
9 5 -827.371 -877.548 -764.135 -767.579 -772.104 4219.69 4223.73 4228.18 4236.59 4243.17 4253.63 4258.45 4263.13
13 12 -695.838 -802.524 -675.111 -720.217 -735.395 4545.67 4549.07 4552.72 4568.35 4582.38 4588.8 4591.93 4595.47
5 5 -793.79 -814.409 -292.694 -329.481 -253.113 4833.36 4836.7 4840.09 4848.33 4854.61 4860.57 4863.31 4866.48
8 6 -641.175 -694.548 453213 -489.917 -591.534 5007.41 5010.48 5013.54 5022.23 5030.02 5075.34 5082.97 5086.36
8 12 -725.56 -804.727 -457.271 -572.084 -660.094 6672.91 6676.5 6680.66 6691.86 6700.26 6717.74 6726.2 6734.11
5 4 -696.521 -784.418 431877 983.393 -626.365 7524.25 7528.89 7535.3 7543.73 7551.34 7574.6 7581.21 7583.37
9 2 -676.327 -707.696 -607.445 -625.905 -644.524 9393.05 9397.39 9403.43 9411.65 9417.97 9428.12 9432.15 9436.04
6 11 -809.919 -836.805 -661.437 -680.053 -714.177 1.77852 1.94513 2.10881 11.4084 19.8605 22.5878 25.6324 28.5285
15 5 -685.129 -749.311 103208 -189.518 -446.244 80.5333 80.9334 81.2957 88.4513 94.4682 130.335 134.804 139.31
10 15 -841.701 -845.83 -708.191 -715.868 -728.818 197.967 198.498 198.973 211.831 222.547 228.398 232.659 237.33
16 16 -808.847 -824.237 -744.11 -765.989 -798.616 945.149 946.98 948.734 963.782 977.091 995.388 1007.8 1020.66
7 17 -793.277 -824.751 -692.92 -737.536 -756.027 1048.06 1050.03 1051.85 1066.02 1078.82 1086.35 1090.77 1095.73
11 12 -724.585 -779.798 -659.961 -660.416 -660.567 2014.22 2016.41 2018.42 2030.21 2040.64 2045.29 2048.57 2051.96
13 9 -803.741 -790.882 -663.965 -783.485 -950.362 2967.72 2970.4 2972.99 2984.28 2994.83 3046.72 3071.52 3094.77
6 1 -685.533 -710.928 -754.453 -813.024 -839.103 3594.57 3597.52 3600.93 3608.19 3613.74 3622.75 3627.78 3633.74
7 3 -561.694 -563.862 -779.747 -800.566 -814.185 5216.36 5219.59 5222.82 5227.76 5231.05 5240.42 5244.55 5248.2
11 6 -686.177 -773.844 -615.834 -619.241 -621.052 153.146 153.847 154.431 160.011 164.306 168.528 171.574 174.607
7 12 -858.609 -900.681 4638.78 -414.973 -403.981 484.969 486.024 487.107 500.949 514.534 540.927 544.266 547.31
6 11 -654.054 -747.354 -589.282 -607.177 -613.158 1752.77 1755.03 1757.65 1768.4 1777.58 1782.81 1785.83 1789.08
8 1 -702.564 -714.044 -567.264 -563.451 -565.396 5039.14 5042.93 5046.62 5054.3 5061.22 5069.59 5072.77 5076.26
4 5 -825.26 -846.253 -764.756 -810.828 -821.563 6851 6855.39 6859.61 6865.78 6871.88 6880.63 6883.86 6887.18
17 6 -751.374 -751.103 56388.3 -396.866 -449.733 6925.59 6929.82 6935.63 6946.39 6956.26 6985.07 6988.7 6990.69
17 6 -706.414 -727.536 272449 -637.344 -656.262 7657.92 7662.82 7667.85 7676.7 7684.04 7721.2 7730.49 7734.62
8 4 -727.855 -779.077 -624.874 -630.432 -702.051 8954.86 8959.75 8965.15 8971.93 8977.04 8985.64 8989.24 8993.29
12 6 -783.186 -789.389 -731.831 -727.446 -734.576 0.0006633 0.138465 0.27746 11.5844 23.0321 36.0121 47.2445 57.1946
13 22 -916.513 -957.628 -766.852 -853.524 -866.476 57.2589 57.399 57.5537 80.4213 100.333 111.259 124.546 138.889
7 1 -613.968 -597.704 -729.784 -723.091 -769.21 169.092 169.398 169.677 175.455 181.098 192.966 201.676 211.551
8 8 -699.436 -731.454 -704.857 -700.775 -638.705 1409.64 1411.56 1413.3 1421.33 1427.21 1432.55 1435.45 1438.36
6 14 -758.74 -796.578 -771.752 -771.847 -773.988 1662.97 1664.93 1666.46 1678.65 1691.41 1698.73 1704.19 1709.34
6 14 -901.681 -991.229 -590.166 -582.554 -622.89 3735.92 3738.96 3743 3755.01 3765.72 3772.65 3775.35 3778.46
10 17 -817.507 -822.146 -795.313 -805.843 -815.901 4126.52 4129.79 4132.84 4148.18 4162.66 4170.01 4173.93 4177.91
6 8 -784.842 -808.188 250509 2648.87 -362.344 6740.55 6744.78 6749.05 6757.62 6764.21 6794.68 6808.56 6812.44
7 7 -782.141 -798.974 -512.464 -515.848 -520.09 8153.5 8157.6 8162.63 8173.08 8183.49 8192.83 8195.82 8198.98
5 3 -710.447 -727.119 -689.492 -775.994 -788.773 9055.15 9059.96 9064.65 9072.67 9078.47 9091.05 9096.62 9102.45
17 15 -702.295 -733.842 553724 -257.144 -619.637 9586.02 9591.25 9596.67 9612.48 9627.47 9659.62 9673.04 9676.76
3 6 -783.128 -811.799 -703.975 -762.62 -783.866 9923.05 9927.97 9934.05 9942.09 9949.09 9968.44 9973.89 9979.58
8 8 -820.098 -865.302 -737.319 -762.661 -721.177 0.523398 0.687076 0.860841 13.2039 24.376 33.8398 43.6689 52.2074
8 17 -751.393 -749.261 -635.354 -734.324 -785.496 88.5494 88.9252 89.2803 103.993 119.276 134.683 143.821 151.557
16 12 -775.678 -784.168 -771.128 -772.955 -775.474 340.616 341.351 342.287 353.617 362.665 367.833 372.391 376.97
5 3 -721.491 -761.068 -626.334 -629.502 -643.206 1119.91 1121.64 1123.28 1131.79 1138.67 1148.3 1152.73 1157.38
11 9 -773.821 -870.614 -747.974 -755.836 -760.287 2880.47 2883.8 2886.96 2899.82 2910.15 2918.71 2923.07 2927.33
6 16 -663.566 -777.998 -790.349 -831.907 -846.403 5238.8 5242.76 5246.88 5260.85 5272.24 5284.89 5290.39 5295.21
6 15 -754.013 -777.195 -604.576 -607.477 -608.102 5550.52 5554.41 5558.6 5571.57 5583.68 5592.64 5596.59 5600.94
14 9 -738.385 -795.13 614327 -341.682 -515.786 7686.42 7691.04 7695.25 7708.91 7721.78 7757.06 7772.45 7776.53
6 10 -733.685 -774.924 -667.212 -669.817 -694.987 184.517 185.245 185.882 194.697 202.298 211.867 216.519 223.331
12 1 -709.162 -721.533 -694.492 -745.196 -754.576 1194.74 1196.41 1198.36 1205.2 1210.23 1215.89 1219.94 1223.83
9 12 -789.587 -825.376 -649.791 -696.457 -724.562 1253.14 1254.86 1256.55 1269.92 1281.71 1303.61 1315.81 1328.02
7 11 -834.837 -848.501 -857.955 -856.33 -869.962 1668.68 1670.85 1672.69 1688.8 1702.75 1708.08 1710.88 1713.92
9 9 -744.543 -821.987 41813.9 -374.907 -461.095 3544.86 3548.11 3551.33 3562.08 3571.41 3597.45 3603.11 3605.62
11 18 -830.243 -831.445 60101.6 -621.992 -614.74 3816.09 3819.45 3822.91 3838.74 3851.68 3877.38 3881.89 3886.23
4 13 -812.705 -797.425 -621.723 -616.465 -620.058 4090.2 4093.56 4097 4110.3 4122.64 4128.63 4131.83 4134.79
6 6 -696.797 -731.299 -788.36 -855.076 -872.163 4513.32 4516.82 4520.61 4529.89 4538.38 4545.64 4550.05 4554.46
10 18 -825.441 -896.08 -571.126 -558.066 -604.154 6564.62 6568.65 6572.35 6589.27 6605.46 6613.33 6616.1 6618.63
7 9 -693.241 -767.587 -665.808 -688.554 -688.333 8617.3 8622.24 8626.54 8639.26 8649.32 8659.59 8662.95 8665.92
11 6 -691.45 -680.566 -608.44 -698.857 -705.313 9393.48 9398.62 9405.62 9412.86 9418.59 9429.05 9432.77 9436.04
7 5 -800.947 -794.34 -793.249 -787.918 -822.283 2.33242 2.50194 2.67064 11.1136 18.2093 32.5676 44.8474 57.035
10 1 -679.004 -707.13 -674.418 -675.809 -660.132 73.9553 74.2644 74.6643 80.8197 85.8624 88.5063 91.2475 93.889
11 11 -837.37 -887.565 -648.991 -740.042 -748.514 99.1679 99.458 99.8316 111.507 124.387 129.867 133.163 136.409
14 5 -862.422 -927.658 -702.407 -727.657 -743.841 164.85 165.333 165.977 174.13 182.931 187.006 190.698 194.315
3 7 -724.494 -731.991 -712.399 -777.16 -777.09 237.138 237.666 238.146 246.475 252.928 264.542 270.357 275.91
6 10 -704.6 -765.21 -853.498 -939.305 -984 361.377 362.196 362.901 378.283 390.435 410.131 426.72 445.225
9 9 -643.923 -761.898 -584.726 -620.114 -650.7 755.683 756.826 757.949 768.533 776.567 781.256 784.335 787.357
7 12 -747.996 -770.857 -814.753 -855.365 -863.853 1608.39 1610.3 1611.98 1627.16 1641.56 1653.52 1662.68 1672.85
16 17 -713.262 -806.187 -136.843 -571.909 -701.425 2135.96 2138.02 2140.73 2153.36 2165.85 2182.15 2184.34 2188.01
7 10 -685.066 -766.387 817334 26502.8 -498.894 2780.15 2782.4 2785.16 2798.57 2809.37 2849.23 2867 2872.04
1 13 -705.359 -734.763 -536.191 -808.585 -757.991 4268.66 4271.93 4275.2 4289.47 4300.17 4324.14 4334.93 4344.43
9 11 -748.645 -756.685 7972.98 -456.868 -545.851 8028.2 8032.54 8037.09 8049.88 8062.35 8090.13 8093.46 8096.51
10 7 -760.316 -786.007 687679 114718 -471.471 9214.09 9218.52 9223.81 9231.85 9238.53 9260.58 9270.89 9276.16
11 6 -604.11 -681.964 -676.469 -683.048 -723.24 16.1567 16.4254 16.6595 26.3301 33.8772 37.9787 41.6207 45.776
13 5 -730.286 -722.986 1.20552e+06 20742.7 -549.201 71.8188 72.1526 72.6018 83.4947 91.5648 147.927 173.255 176.658
11 10 -755.044 -759.498 -724.248 -801.282 -808.551 314.47 315.335 316.266 326.294 335.231 348.313 353.914 359.62
10 9 -730.911 -756.057 -838.705 -820.406 -830.793 1583.97 1586.03 1588.24 1599.35 1609.23 1614.16 1616.63 1619.46
8 2 -544.636 -665.237 -611.065 -648.191 -678.235 1878.18 1880.38 1882.16 1886.95 1891.48 1898.62 1902.85 1907.04
16 12 -817.954 -867.517 -695.311 -700.581 -702.644 2050.28 2053.24 2056.27 2067.4 2077.8 2083.13 2086.38 2089.56
7 20 -796.515 -867.38 4646.7 -514.142 -540.456 3933.42 3936.46 3940.33 3960.15 3979.91 4000.62 4003.78 4007.13
16 4 -635.272 -870.058 248888 -538.492 -544.69 5.101 5.29742 5.47868 11.4824 18.2021 48.0159 55.6007 58.9017
8 10 -764.8 -767.967 -672.516 -711.187 -718.137 80.0962 80.4103 80.6845 91.0376 99.9787 107.074 113.06 119.085
14 2 -655.457 -662.741 -718.037 -712.823 -721.212 2023.76 2026.2 2028.34 2034.09 2038.79 2044.92 2047.97 2051.12
8 8 -627.97 -639.251 -749.025 -813.72 -839.41 2794.16 2796.8 2799.81 2809.12 2817.2 2831.14 2842.69 2854.53
14 1 -780.348 -804.657 -706.083 -712.927 -709.659 4508.5 4511.66 4515.45 4521.85 4527.05 4537.31 4541.15 4545.11
7 7 -638.718 -635.882 -733.383 -745.564 -768.796 5235.33 5238.98 5242.75 5250.58 5257.98 5269.71 5275.76 5281.57
13 12 -745.715 -809.981 -561.989 -582.749 -580.062 9185.16 9189.66 9194.38 9210.1 9226.46 9253.17 9255.39 9257.41
8 9 -717.244 -743.672 -650.623 -777.266 -769.062 9616.97 9621.34 9626.06 9637.23 9645.81 9664.4 9676.18 9686.54
13 9 -741.402 -826.279 -671.346 -764.827 -779.668 38.2666 38.6449 38.9447 50.997 60.6461 63.8732 66.9748 69.9483
7 12 -775.52 -802.305 -649.087 -661.6 -688.344 271.818 272.56 273.524 285.304 295.666 320.655 325.166 330.413
16 15 -694.465 -798.968 58397.1 -590.15 -593.693 419.976 421.074 422.203 436.296 450.59 477.632 482.519 486.411
10 7 -785.892 -806.666 -716.782 -756.43 -755.958 1438.84 1440.57 1442.03 1450.77 1458.46 1470.58 1477.66 1484.53
5 6 -639.765 -694.537 -654.669 -691.395 -713.532 4670.43 4673.37 4675.98 4683.33 4688.86 4699.84 4704.46 4709.99
8 1 -615.455 -689.165 1.10886e+06 133115 391386 5589.82 5593.19 5597.09 5604.97 5611.1 5643.05 5667.97 5695.02
9 6 -639.229 -647.784 -656.13 -691.354 -725.569 1.59209 1.76176 1.91391 8.41401 14.2584 19.3071 24.6582 29.6501
6 13 -711.982 -782.31 -653.004 -679.816 -728.379 62.6535 63.0409 63.5691 77.3468 87.6432 96.1941 102.136 107.962
14 14 -822.775 -859.721 -712.935 -726.564 -733.872 203.826 204.563 205.461 216.53 226.391 231.066 235.003 239.351
1 7 -765.796 -758.026 12323.1 -591.815 -617.095 2203.85 2206.28 2208.6 2217.13 2224.42 2244.41 2248.62 2251.34
8 17 -783.705 -814.67 -627.856 -733.865 -732.522 2894.31 2896.7 2899.68 2917.68 2935.3 2956.51 2968.41 2980.28
10 15 -731.396 -770.887 -843.207 -912.402 -912.312 4991.53 4996.08 4999.46 5012.37 5023.17 5051.08 5069.05 5087.55
7 9 -698.395 -718.949 -739.916 -794.065 -809.667 5391.09 5394.86 5398.82 5408.25 5415.36 5446.07 5466.56 5488.19
6 4 -614.725 -736.11 -825.421 -939.491 -942.179 6433.84 6437.83 6441.81 6448.08 6453.29 6470.22 6480.59 6491.65
7 10 -872.55 -880.824 -689.152 -730.363 -746.818 0.308411 0.453444 0.601912 12.4311 21.9225 26.1196 31.4572 37.0849
14 11 -752.803 -764.158 -737.086 -808.729 -800.37 37.7823 37.9841 38.178 50.5925 61.0116 74.1115 86.0696 96.8917
12 10 -711.453 -737.055 -624.734 -688.227 -711.728 208.863 209.547 210.417 221.394 229.678 245.071 250.227 254.718
9 9 -846.786 -912.2 -582.431 -647.182 -643.914 1609.49 1611.42 1613.43 1623.4 1631.2 1636.09 1640.24 1644.44
6 3 -647.526 -752.565 -642.959 -646.803 -642.404 2190 2192.28 2194.16 2199.99 2205.11 2215.42 2219.54 2223.22
13 4 -645.278 -643.379 110694 -653.464 -648.909 2797.47 2800.1 2803.07 2809.88 2815.32 2859.81 2865.63 2870.5
9 13 -836.236 -845.011 -708.506 -728.774 -710.97 3307.4 3310.09 3312.89 3324.94 3335.47 3346.11 3351.33 3356.37
15 22 -870.927 -867.278 -667.941 -666.282 -668.622 4275.36 4278.73 4281.53 4304.4 4325.73 4332.78 4336.41 4339.95
16 9 -771.207 -807.941 -728.726 -738.184 -749.065 5175.73 5179.21 5183.53 5195.56 5204.54 5210.61 5214.14 5218.01
14 22 -809.825 -860.266 250470 -495.577 -527.45 7433.75 7438.49 7443.02 7464.05 7483.38 7508.8 7513.08 7516.24
6 9 -724.558 -819.161 -650.846 -690.634 -685.35 6.94681 7.16244 7.37365 15.7862 23.0947 26.7651 30.1181 33.4303
18 15 -826.877 -882.954 -581.647 -621.377 -620.154 111.831 112.381 112.822 126.693 139.13 142.563 145.706 148.773
16 11 -700.477 -781.683 -429.481 -619.36 -614.403 372.889 373.803 374.752 386.962 396.642 417.071 421.75 426.887
6 9 -863.887 -868.429 140063 -461.794 -598.037 2509.64 2512.2 2514.67 2522.82 2529.19 2556.71 2559.91 2562.58
9 12 -858.851 -884.485 -628.335 -650.544 -674.054 3805.61 3808.87 3812.16 3825.37 3836.75 3844.26 3848.77 3853.33
12 15 -707.673 -736.652 -829.919 -890.439 -892.943 5111.73 5115.34 5119.03 5132.19 5144.58 5164.9 5183.65 5204.12
10 20 -869.567 -971.748 -537.44 -618.317 -659.423 8495.32 8499.37 8503.22 8519.66 8536.18 8563.02 8567.93 8571.94
12 2 -680.695 -767.473 -668.41 -770.875 -829.043 8874.42 8879.97 8884.27 8890.07 8894.85 8914.08 8920.24 8926.75
8 17 -857.615 -911.143 -599.522 -597.289 -604.813 9557.41 9561.77 9565.99 9578.03 9587.08 9595.53 9598.67 9601.44
7 1 -780.327 -800.563 31354.9 -300.673 -304.342 38.7276 39.05 39.4859 45.0908 50.8284 65.3015 69.3967 71.13
15 15 -873.134 -887.785 -596.469 -625.568 -734.063 113.818 114.278 114.722 128.749 141.085 144.462 147.722 153.969
3 2 -740.681 -752.391 -815.467 -834.098 -842.627 284.532 285.258 286.21 292.63 298.481 302.454 305.603 308.672
7 8 -740.313 -846.369 70843.3 -675.95 -705.718 707.229 708.527 709.789 719.913 728.549 748.917 752.959 756.559
7 16 -759.122 -781.854 -671.19 -766.978 -713.013 1968.56 1971.31 1973.93 1991.53 2005.75 2021.74 2032.11 2041.85
10 2 -691.34 -710.739 -554.716 -649.509 -752.397 3759.54 3762.63 3765.39 3771.24 3776.88 3786.77 3791.46 3796.07
11 3 -740.544 -767.09 31610.8 11570.8 -391.066 9698.78 9704.08 9709.25 9719.52 9725.94 9753.72 9778.55 9781.67
14 14 -801.734 -874.351 -764.048 -823.768 -837.216 65.6618 66.0604 66.7047 80.6768 93.6106 115.819 135.253 154.444
8 9 -802.94 -934.328 -720.077 -767.925 -763.633 821.194 822.462 823.978 833.703 842.951 848.769 853.36 857.706
15 7 -809.794 -826.354 -707.324 -714.725 -730.249 1835.76 1837.81 1840.53 1850.24 1858.14 1864.41 1867.84 1871.35
